context,build,server_ctx,prompt_tok_s,ttft_s,decode_tok_s,tokens,markers_ok
8192,stock,8449,108.98,75.17,26.424,256,yes
8192,fork,8449,223.80,36.60,26.295,256,yes
32768,stock,33025,92.37,354.75,21.550,256,yes
32768,fork,33025,200.96,163.05,21.634,256,yes
65536,stock,65793,74.79,876.27,17.756,256,yes
65536,fork,65793,166.15,394.43,17.922,256,yes
131072,stock,131328,54.09,2423.25,12.273,256,yes
131072,fork,131328,122.33,1071.47,13.044,256,yes
250000,stock,250368,35.65,7012.72,4.677,256,yes
250000,fork,250368,81.30,3075.13,5.041,256,yes
