model,context,devices,server_context,tokens,metric,unit,reference,candidate,change_pct
primary,8192,6,8448,256,request wall time,seconds,49.18146054099634,49.025936158999684,-0.316225627067368
primary,8192,6,8448,256,prompt processing time,seconds,39.381001,39.21664,-0.4173611534150634
primary,8192,6,8448,256,generation time,seconds,9.779947,9.787914,0.08146260915320447
primary,8192,6,8448,256,prompt throughput,tokens/second,208.0190902206879,208.89091977283113,0.4191103572360966
primary,8192,6,8448,256,generation throughput,tokens/second,26.07376093142427,26.0525378543375,-0.08139630160216571
primary,65536,6,66048,256,request wall time,seconds,436.4602168650017,430.4098335890012,-1.3862393506237747
primary,65536,6,66048,256,prompt processing time,seconds,422.672656,416.28685600000006,-1.5108145533786255
primary,65536,6,66048,256,generation time,seconds,13.689718000000001,14.029577999999999,2.482593140340783
primary,65536,6,66048,256,prompt throughput,tokens/second,155.05143062767704,157.4299045367889,1.5339903021103218
primary,65536,6,66048,256,generation throughput,tokens/second,18.62711854254412,18.17588526183753,-2.4224534765051375
primary,131072,6,131328,256,request wall time,seconds,1148.3284944879997,1123.5065556100017,-2.1615712748698557
primary,131072,6,131328,256,prompt processing time,seconds,1128.218657,1103.5812649999998,-2.1837426501625457
primary,131072,6,131328,256,generation time,seconds,19.927562,19.744818,-0.9170414323638965
primary,131072,6,131328,256,prompt throughput,tokens/second,116.17606142813504,118.76968571045832,2.2324945866129653
primary,131072,6,131328,256,generation throughput,tokens/second,12.796347089523545,12.914780982027791,0.9255289159920466
primary,250000,6,250368,256,request wall time,seconds,3231.6576527600046,3145.1590241910017,-2.6766024704110714
primary,250000,6,250368,256,prompt processing time,seconds,3179.024368,3092.856799,-2.7105035704463543
primary,250000,6,250368,256,generation time,seconds,52.297720999999996,51.965493,-0.6352628635576507
primary,250000,6,250368,256,prompt throughput,tokens/second,78.64047929814421,80.83141776264307,2.7860187069721487
primary,250000,6,250368,256,generation throughput,tokens/second,4.875929488399695,4.907102488183841,0.6393242531154142
