context,model,devices,tokens,metric,unit,original_reference,first_candidate,unroll4,vs_original_pct,vs_first_candidate_pct,byte_exact,activation_proven,research_snapshot
8192,primary,6,256,request wall time,seconds,49.18146054099634,48.994301633007126,49.07448423700407,-0.21751347523137898,0.16365699953753143,True,False,True
8192,primary,6,256,prompt processing time,seconds,39.381001,39.235597,39.299661,-0.2065462988104283,0.16328029875523065,True,False,True
8192,primary,6,256,generation time,seconds,9.779947,9.740765,9.748149,-0.32513468631272247,0.07580513440166303,True,False,True
8192,primary,6,256,prompt throughput,tokens/second,208.0190902206879,208.78999241428644,208.44963522713337,0.20697379552458983,-0.1630141287987219,True,False,True
8192,primary,6,256,generation throughput,tokens/second,26.07376093142427,26.178642026575943,26.15881230375121,0.3261952602489071,-0.07574771374544431,True,False,True
65536,primary,6,256,request wall time,seconds,436.4602168650017,430.53963629300415,431.7842462760018,-1.0713394734086834,0.28908139415777523,True,False,True
65536,primary,6,256,prompt processing time,seconds,422.672656,416.60436300000003,417.907264,-1.127442698824599,0.31274300408610234,True,False,True
65536,primary,6,256,generation time,seconds,13.689718000000001,13.838106,13.784841,0.6948499596558522,-0.38491539232319294,True,False,True
65536,primary,6,256,prompt throughput,tokens/second,155.05143062767704,157.30992236391916,156.81948040989303,1.14029891569436,-0.31176797156605707,True,False,True
65536,primary,6,256,generation throughput,tokens/second,18.62711854254412,18.4273772725834,18.498581158825118,-0.6900551119886078,0.3864027158528849,True,False,True
131072,primary,6,256,request wall time,seconds,1148.3284944879997,1123.2281282720069,1128.914252579998,-1.6906522829652326,0.5062305835181302,True,False,True
131072,primary,6,256,prompt processing time,seconds,1128.218657,1103.4536329999999,1109.41367,-1.6667856787622726,0.5401257308652152,True,False,True
131072,primary,6,256,generation time,seconds,19.927562,19.591076,19.312398,-3.0870008082273137,-1.4224741918207995,True,False,True
131072,primary,6,256,prompt throughput,tokens/second,116.17606142813504,118.78342331761574,118.14529020541094,1.6950383349792153,-0.5372240455627342,True,False,True
131072,primary,6,256,generation throughput,tokens/second,12.796347089523545,13.01613040549687,13.203953232529694,3.185332033857202,1.4430005015430902,True,False,True
250000,primary,6,256,request wall time,seconds,3231.6576527600046,3147.463190349008,3167.7447089969937,-1.977713936017511,0.644376674846403,True,False,True
250000,primary,6,256,prompt processing time,seconds,3179.024368,3095.55163,3115.330668,-2.0035612385088775,0.6389503508297256,True,False,True
250000,primary,6,256,generation time,seconds,52.297720999999996,51.572452,52.080777999999995,-0.41482304745172893,0.9856541240272909,True,False,True
250000,primary,6,256,prompt throughput,tokens/second,78.64047929814421,80.7610500103337,80.24830319553097,2.0445245396980782,-0.6348936953359696,True,False,True
250000,primary,6,256,generation throughput,tokens/second,4.875929488399695,4.9445002149597235,4.8962402212962335,0.4165509969916492,-0.9760338065610386,True,False,True
